2000,88,57,63,77,70,6,98,65,58,19,73,13,86,1
11,66,3,14,36,65,51,4,45,78,12,31,91,12,86
61,41,46,70,39,7,76,23,3,4,62,75,63,65,54
86,73,65,44,42,14,50,92,94,37,6,78,46,97,17
95,40,51,62,12,17,58,49,83,97,70,14,6,47,55
75,43,22,77,71,53,19,58,37,69,48,98,97,89,35
22,84,34,52,37,39,72,84,19,49,10,78,75,7,42
59,93,9,90,13,31,93,54,73,52,4,94,37,81,22
68,76,84,83,87,36,26,18,19,73,24,47,42,52,5
79,12,76,34,77,2,70,20,78,49,7,74,69,90,45
90,76,32,31,46,59,35,9,10,32,93,6,19,40,60
67,21,74,59,98,15,49,70,31,48,63,52,70,33,69
46,39,51,77,78,36,46,50,12,56,75,77,36,5,11
26,62,85,7,15,74,39,94,53,89,53,55,3,49,4
21,94,40,22,35,50,85,61,29,76,18,62,52,94,16
